WKT,id,codigo,nombre,ubicacion,tipo,horario,anclajes_t
"POINT (-58.436750288151 -34.5676327500898)","280","251",251 - Solar de la Abadía,Maure 1819,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4742115088707 -34.5972100400351)","283","213",213 - Hospital Alvear,Av. Warnes 2626,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.453474264924 -34.6055675324672)","287","205",205 - SAN MARTIN,1471 Cucha Cucha,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4573164151576 -34.6039364764095)","289","285",285 - ESPINOSA,1785 Espinosa,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4541799054169 -34.5513032929413)","293","289",289 - MONTAÑESES,2786 Montañeses,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4592972220666 -34.565408588895)","294","240",240 - ECHEVERRIA,1981 Vidal,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.4840559622135 -34.5789327751864)","295","280",280 - JURAMENTO,5209 Juramento,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4351854049083 -34.5931413389044)","299","100",100 - Plaza Gurruchaga,1078 Gurruchaga,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.5036251416069 -34.6004333686334)","302","203",203 - Beiro,"Beiro 3572, CABA",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4709800774731 -34.615945683095)","303","206",206 - Galicia,2502 Galicia,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.5114175662448 -34.5999174184317)","304","207",207 - PLAZA ARENALES,Nueva York y Chivilcoy,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"27"
"POINT (-58.4842976451166 -34.6168136373371)","310","218",218 - Campana,1523 Campana,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.364690475284 -34.5990368177423)","319","237",237 - Madero Office,"367 Sanchez De Thompson, Mariquita",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4463796927595 -34.5674826994842)","321","242",242 - Plazoleta Rafael del Riego,o´higins 1327,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4655854588057 -34.561485468715)","323","249",249 - Balbín,2519 Conesa,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.4504777802768 -34.5556014089115)","324","250",250 - Fleni,2292 Montañeses,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4536070094485 -34.5691867028408)","325","258",258 - Plaza J.J. Paso,1399 Moldes,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4620498888888 -34.6420533227704)","327","354",354 - Plaza Tupac Amaru,3101 Primera Junta,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"28"
"POINT (-58.4344681995915 -34.5686927854069)","328","381",381 - Matienzo Y Arce,"1798 Matienzo, Benjamin, Teniente",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.4701361892303 -34.6364071540976)","335","322",322 - MARTÍ Y DIRECTORIO,"404 Marti, Jose",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.4703149491282 -34.6436738190981)","337","367",367 - Martinez Castro,MARIANO ACOSTA 1190,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.487078834199 -34.6267788509477)","339","324",324 - Las Victorias,"4083 Vallese, Felipe",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4682870156063 -34.6231238600818)","341","215",215 - HOSPITAL ALVAREZ,Bolivia 683,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4774262736628 -34.6054524121031)","345","204",204 - Biarritz,Biarritz 2403,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4934201525439 -34.6061190485399)","348","268",268 - Plaza Aristóbulo Del Valle,"Campana & Sastre, Marcos",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
